query,rel,qid,docid
Provinces of Indonesia,1,170641,389464
Provinces of Indonesia,1,170641,445367
Provinces of Indonesia,1,170641,453584
Provinces of Indonesia,1,170641,453590
Provinces of Indonesia,1,170641,453595
Provinces of Indonesia,1,170641,453636
Provinces of Indonesia,1,170641,453639
Provinces of Indonesia,1,170641,453666
Provinces of Indonesia,1,170641,453688
Provinces of Indonesia,1,170641,453711
Provinces of Indonesia,1,170641,453714
Provinces of Indonesia,1,170641,512111
Provinces of Indonesia,1,170641,593269
Provinces of Indonesia,1,170641,803280
Provinces of Indonesia,1,170641,844858
Provinces of Indonesia,1,170641,984321
Provinces of Indonesia,1,170641,1104312
Provinces of Indonesia,1,170641,1355385
Provinces of Indonesia,1,170641,1699447
Provinces of Indonesia,1,170641,2960366
Provinces of Indonesia,1,170641,3891316
Provinces of Indonesia,1,170641,5567820
Provinces of Indonesia,1,170641,7188517
Provinces of Indonesia,1,170641,30104200
Commuter rail,2,6286,6286
Commuter rail,1,6286,105849
Commuter rail,1,6286,172174
Commuter rail,1,6286,838658
Commuter rail,1,6286,840678
Commuter rail,1,6286,843023
Commuter rail,1,6286,1146648
Commuter rail,1,6286,1395672
Commuter rail,1,6286,1721167
Commuter rail,1,6286,4215139
Commuter rail,1,6286,27342438
Lviv Oblast,2,494875,494875
Lviv Oblast,1,494875,512782
Lviv Oblast,1,494875,928268
Lviv Oblast,1,494875,1985883
Lviv Oblast,1,494875,3155320
Lviv Oblast,1,494875,402344
Ivory Coast,2,57744,57744
Ivory Coast,1,57744,292705
Ivory Coast,1,57744,619272
Ivory Coast,1,57744,1039856
Ivory Coast,1,57744,1173624
Ivory Coast,1,57744,1519357
Ivory Coast,1,57744,3149155
Ivory Coast,1,57744,16044126
Ivory Coast,1,57744,21371767
Susquehanna River,2,231223,231223
Susquehanna River,1,231223,84892
Susquehanna River,1,231223,116449
Susquehanna River,1,231223,126145
Susquehanna River,1,231223,132089
Susquehanna River,1,231223,132376
Susquehanna River,1,231223,609636
Susquehanna River,1,231223,647237
Susquehanna River,1,231223,663676
Susquehanna River,1,231223,725328
Dumfries and Galloway,2,141265,141265
Dumfries and Galloway,1,141265,76505
Dumfries and Galloway,1,141265,130702
Dumfries and Galloway,1,141265,141928
Dumfries and Galloway,1,141265,142001
Dumfries and Galloway,1,141265,393136
Dumfries and Galloway,1,141265,408197
Dumfries and Galloway,1,141265,457456
Dumfries and Galloway,1,141265,1893873
Dumfries and Galloway,1,141265,14410202
Dumfries and Galloway,1,141265,16160372
United States dollar,2,18717338,18717338
United States dollar,1,18717338,245067
United States dollar,1,18717338,374688
United States dollar,1,18717338,374778
United States dollar,1,18717338,509259
United States dollar,1,18717338,2308563
United States dollar,1,18717338,21086861
United States dollar,1,18717338,37986082
Sofia,2,57644,57644
Sofia,1,57644,86758
Sofia,1,57644,182553
Sofia,1,57644,744703
Sofia,1,57644,893469
Sofia,1,57644,998823
Sofia,1,57644,2376148
Sofia,1,57644,4068280
Sofia,1,57644,26659945
Sofia,1,57644,48997793
Sofia,1,57644,49581727
Sofia,1,57644,51258139
Kingdom of Bavaria,2,3043377,3043377
Kingdom of Bavaria,1,3043377,193686
Kingdom of Bavaria,1,3043377,295384
Kingdom of Bavaria,1,3043377,866485
Kingdom of Bavaria,1,3043377,8984250
Kingdom of Bavaria,1,3043377,19972138
Kingdom of Bavaria,1,3043377,24383069
Newport Wales,2,338052,338052
Newport Wales,1,338052,55452
Newport Wales,1,338052,161828
Newport Wales,1,338052,203635
Newport Wales,1,338052,242108
Newport Wales,1,338052,473495
Newport Wales,1,338052,669074
Newport Wales,1,338052,38042649
Northwest Caucasian languages,2,72462,72462
Northwest Caucasian languages,1,72462,202365
Northwest Caucasian languages,1,72462,517916
Northwest Caucasian languages,1,72462,538360
Northwest Caucasian languages,1,72462,1423683
Northwest Caucasian languages,1,72462,517916
Mandaluyong,2,359686,359686
Mandaluyong,1,359686,2512
Mandaluyong,1,359686,437319
Mandaluyong,1,359686,1665971
Mandaluyong,1,359686,2713787
Mandaluyong,1,359686,3116750
Wollongong,2,234276,234276
Wollongong,1,234276,461935
Wollongong,1,234276,527187
Wollongong,1,234276,618679
Wollongong,1,234276,853881
Wollongong,1,234276,2558879
Wollongong,1,234276,5832396
Overijssel,2,57159,57159
Overijssel,1,57159,58553
Overijssel,1,57159,72351
Overijssel,1,57159,101621
Overijssel,1,57159,118459
Overijssel,1,57159,118461
Unix,2,21347364,21347364
Unix,1,21347364,2114
Unix,1,21347364,36704
Unix,1,21347364,46145
Unix,1,21347364,484730
Unix,1,21347364,598445
Unix,1,21347364,3501526
Unix,1,21347364,21347057
Fairfax County Virginia,2,91327,91327
Fairfax County Virginia,1,91327,33591
Fairfax County Virginia,1,91327,137558
Fairfax County Virginia,1,91327,137564
Fairfax County Virginia,1,91327,137565
Fairfax County Virginia,1,91327,137571
Fairfax County Virginia,1,91327,137573
Fairfax County Virginia,1,91327,137580
Fairfax County Virginia,1,91327,137582
Fairfax County Virginia,1,91327,137589
Fairfax County Virginia,1,91327,137592
Fairfax County Virginia,1,91327,137593
Fairfax County Virginia,1,91327,137594
Fairfax County Virginia,1,91327,559394
Fairfax County Virginia,1,91327,559554
Fairfax County Virginia,1,91327,2484430
Fairfax County Virginia,1,91327,4002166
River Thames,2,49031,49031
River Thames,1,49031,31165
River Thames,1,49031,37432
River Thames,1,49031,43989
River Thames,1,49031,45220
River Thames,1,49031,52947
River Thames,1,49031,57470
River Thames,1,49031,64054
River Thames,1,49031,69887
River Thames,1,49031,93958
River Thames,1,49031,93977
River Thames,1,49031,94036
River Thames,1,49031,94123
River Thames,1,49031,94178
River Thames,1,49031,94229
River Thames,1,49031,95371
River Thames,1,49031,98370
River Thames,1,49031,109370
River Thames,1,49031,203354
River Thames,1,49031,205026
River Thames,1,49031,206470
River Thames,1,49031,247877
River Thames,1,49031,294847
River Thames,1,49031,310113
River Thames,1,49031,348110
River Thames,1,49031,349932
River Thames,1,49031,355118
River Thames,1,49031,360367
River Thames,1,49031,360373
River Thames,1,49031,380308
River Thames,1,49031,380403
River Thames,1,49031,381305
River Thames,1,49031,390961
River Thames,1,49031,393081
River Thames,1,49031,401516
River Thames,1,49031,484578
River Thames,1,49031,488721
River Thames,1,49031,537979
River Thames,1,49031,879233
River Thames,1,49031,892954
River Thames,1,49031,915197
River Thames,1,49031,939510
River Thames,1,49031,971286
River Thames,1,49031,1077732
River Thames,1,49031,1099208
River Thames,1,49031,1172471
River Thames,1,49031,1183393
River Thames,1,49031,1187043
River Thames,1,49031,1230202
River Thames,1,49031,1404799
River Thames,1,49031,1411126
River Thames,1,49031,1702151
River Thames,1,49031,1924313
River Thames,1,49031,2116548
River Thames,1,49031,2167399
River Thames,1,49031,2175553
River Thames,1,49031,2840396
River Thames,1,49031,3944504
River Thames,1,49031,18005011
River Thames,1,49031,21221606
River Thames,1,49031,25443032
Districts of Vienna,2,1359489,1359489
Districts of Vienna,1,1359489,217471
Districts of Vienna,1,1359489,1379027
Districts of Vienna,1,1359489,1399183
Districts of Vienna,1,1359489,2109648
Districts of Vienna,1,1359489,2112902
Bergen County New Jersey,2,93451,93451
Bergen County New Jersey,1,93451,124972
Bergen County New Jersey,1,93451,124973
Bergen County New Jersey,1,93451,124975
Bergen County New Jersey,1,93451,124977
Bergen County New Jersey,1,93451,124980
Bergen County New Jersey,1,93451,124981
Bergen County New Jersey,1,93451,124982
Bergen County New Jersey,1,93451,124984
Bergen County New Jersey,1,93451,124986
Bergen County New Jersey,1,93451,124988
Bergen County New Jersey,1,93451,124989
Bergen County New Jersey,1,93451,124992
Bergen County New Jersey,1,93451,124995
Bergen County New Jersey,1,93451,124997
Bergen County New Jersey,1,93451,125001
Bergen County New Jersey,1,93451,125011
Bergen County New Jersey,1,93451,125012
Bergen County New Jersey,1,93451,125016
Bergen County New Jersey,1,93451,136878
Bergen County New Jersey,1,93451,136882
Bergen County New Jersey,1,93451,136883
Bergen County New Jersey,1,93451,136885
Bergen County New Jersey,1,93451,136886
Bergen County New Jersey,1,93451,136888
Bergen County New Jersey,1,93451,136889
Bergen County New Jersey,1,93451,136898
Bergen County New Jersey,1,93451,136900
Bergen County New Jersey,1,93451,136903
Bergen County New Jersey,1,93451,624915
Ben Elton,2,52279,52279
Ben Elton,1,52279,181274
Ben Elton,1,52279,438518
Ben Elton,1,52279,438527
Ben Elton,1,52279,438533
Ben Elton,1,52279,2845394
River Tyne,2,145607,145607
River Tyne,1,145607,70348
River Tyne,1,145607,144090
River Tyne,1,145607,189973
River Tyne,1,145607,266656
River Tyne,1,145607,368433
River Tyne,1,145607,374500
River Tyne,1,145607,389757
River Tyne,1,145607,2589102
Melanesia,2,83393,83393
Melanesia,1,83393,10707
Melanesia,1,83393,22621
Melanesia,1,83393,22943
Melanesia,1,83393,317505
Melanesia,1,83393,1588536
Isle of Wight,2,15102,15102
Isle of Wight,1,15102,188472
Isle of Wight,1,15102,237084
Isle of Wight,1,15102,328793
Isle of Wight,1,15102,351848
Isle of Wight,1,15102,352551
Isle of Wight,1,15102,374530
Isle of Wight,1,15102,374561
Isle of Wight,1,15102,385537
Isle of Wight,1,15102,402840
Isle of Wight,1,15102,520604
Isle of Wight,1,15102,555255
Isle of Wight,1,15102,586048
Isle of Wight,1,15102,856961
Isle of Wight,1,15102,1067381
Isle of Wight,1,15102,1092733
Isle of Wight,1,15102,1095235
Reading Berkshire,2,43980,43980
Reading Berkshire,1,43980,37731
Reading Berkshire,1,43980,45221
Reading Berkshire,1,43980,59908
Reading Berkshire,1,43980,64054
Reading Berkshire,1,43980,194885
Reading Berkshire,1,43980,336956
Reading Berkshire,1,43980,476468
Reading Berkshire,1,43980,591556
Reading Berkshire,1,43980,593207
Reading Berkshire,1,43980,971286
Stanford University,2,26977,26977
Stanford University,1,26977,8095
Stanford University,1,26977,108166
Stanford University,1,26977,189384
Stanford University,1,26977,286565
Stanford University,1,26977,382431
Stanford University,1,26977,435330
Stanford University,1,26977,452927
Stanford University,1,26977,3577771
Stanford University,1,26977,7958109
Stanford University,1,26977,37506594
French Fifth Republic,2,244717,244717
French Fifth Republic,1,244717,24899
French Fifth Republic,1,244717,218751
French Fifth Republic,1,244717,299616
French Fifth Republic,1,244717,33841029
French Fifth Republic,1,244717,48815336
Apollo program,2,1461,1461
Apollo program,1,1461,1967
Apollo program,1,1461,1968
Apollo program,1,1461,1969
Apollo program,1,1461,1970
Apollo program,1,1461,1971
Apollo program,1,1461,221761
Apollo program,1,1461,551435
Jackson Mississippi,2,16167,16167
Jackson Mississippi,1,16167,19064
Jackson Mississippi,1,16167,122283
Jackson Mississippi,1,16167,122397
Jackson Mississippi,1,16167,124692
Jackson Mississippi,1,16167,217170
Jackson Mississippi,1,16167,516019
Jupiter,2,38930,38930
Jupiter,1,38930,30972
Jupiter,1,38930,43127
Jupiter,1,38930,44474
Jupiter,1,38930,47264
Jupiter,1,38930,1051892
Jupiter,1,38930,1978851
Jupiter,1,38930,5595163
Jupiter,1,38930,50402274
NASCAR,2,21114,21114
NASCAR,1,21114,25480
NASCAR,1,21114,147515
NASCAR,1,21114,426494
NASCAR,1,21114,641044
NASCAR,1,21114,685467
NASCAR,1,21114,685564
NASCAR,1,21114,794321
NASCAR,1,21114,1719389
NASCAR,1,21114,1769428
NASCAR,1,21114,1970270
NASCAR,1,21114,4064853
NASCAR,1,21114,5652798
NASCAR,1,21114,5168173
NASCAR,1,21114,6966833
NASCAR,1,21114,30011179
NASCAR,1,21114,30690974
NASCAR,1,21114,42094020
NASCAR,1,21114,48323314
NASCAR,1,21114,56571945
Chesapeake Bay,2,59473,59473
Chesapeake Bay,1,59473,59308
Chesapeake Bay,1,59473,116449
Chesapeake Bay,1,59473,116574
Chesapeake Bay,1,59473,116582
Chesapeake Bay,1,59473,193371
Chesapeake Bay,1,59473,310361
Chesapeake Bay,1,59473,349174
Chesapeake Bay,1,59473,352822
Chesapeake Bay,1,59473,371824
Chesapeake Bay,1,59473,664769
Chesapeake Bay,1,59473,860497
Extremadura,2,68204,68204
Extremadura,1,68204,436113
Extremadura,1,68204,58480
Extremadura,1,68204,68683
Extremadura,1,68204,143654
Extremadura,1,68204,143655
Extremadura,1,68204,143656
Extremadura,1,68204,4151344
Extremadura,1,68204,22645564
Fujian,2,88585,88585
Fujian,1,88585,143881
Fujian,1,88585,147448
Fujian,1,88585,179762
Fujian,1,88585,198045
Fujian,1,88585,241002
Fujian,1,88585,503737
Fujian,1,88585,869215
Fujian,1,88585,937324
Fujian,1,88585,1300604
Fujian,1,88585,1597197
Fujian,1,88585,1848403
Fujian,1,88585,2100327
Fujian,1,88585,2347345
Fujian,1,88585,3447581
Imperial Japanese Army,2,481708,481708
Imperial Japanese Army,1,481708,20069
Imperial Japanese Army,1,481708,60027
Imperial Japanese Army,1,481708,302767
Imperial Japanese Army,1,481708,313879
Imperial Japanese Army,1,481708,1615038
Imperial Japanese Army,1,481708,2967834
Imperial Japanese Army,1,481708,7595837
Imperial Japanese Army,1,481708,33553929
Harlem,2,54861,54861
Harlem,1,54861,276154
Harlem,1,54861,1637713
Harlem,1,54861,1818176
Harlem,1,54861,2280213
Harlem,1,54861,9119159
Harlem,1,54861,39809074
Swedish Armed Forces,2,26895,26895
Swedish Armed Forces,1,26895,198656
Swedish Armed Forces,1,26895,316252
Swedish Armed Forces,1,26895,367249
Swedish Armed Forces,1,26895,851721
Swedish Armed Forces,1,26895,26895
Warwickshire,2,383648,383648
Warwickshire,1,383648,49551
Warwickshire,1,383648,58882
Warwickshire,1,383648,176254
Warwickshire,1,383648,181566
Warwickshire,1,383648,184281
Warwickshire,1,383648,198098
Warwickshire,1,383648,199961
Warwickshire,1,383648,200313
Warwickshire,1,383648,208427
Warwickshire,1,383648,349697
Warwickshire,1,383648,366480
Warwickshire,1,383648,371270
Warwickshire,1,383648,426485
Warwickshire,1,383648,443661
Warwickshire,1,383648,598474
Warwickshire,1,383648,663204
Warwickshire,1,383648,837999
Warwickshire,1,383648,1115392
Gerry Anderson,2,166831,166831
Gerry Anderson,1,166831,166830
Gerry Anderson,1,166831,166858
Gerry Anderson,1,166831,469019
Gerry Anderson,1,166831,1600828
Gerry Anderson,1,166831,33493008
Human sexual activity,2,14337,14337
Human sexual activity,1,14337,14084
Human sexual activity,1,14337,26862
Human sexual activity,1,14337,154823
Human sexual activity,1,14337,173634
Human sexual activity,1,14337,238253
Human sexual activity,1,14337,731637
Human sexual activity,1,14337,5488304
Human sexual activity,1,14337,5710507
Human sexual activity,1,14337,15179951
Human sexual activity,1,14337,17322723
Human sexual activity,1,14337,19019270
Human sexual activity,1,14337,19186899
Human sexual activity,1,14337,21378368
Human sexual activity,1,14337,35334391
Saurashtra region,2,845731,845731
Saurashtra region,1,845731,846591
Saurashtra region,1,845731,1409065
Saurashtra region,1,845731,1702804
Saurashtra region,1,845731,3099408
Saurashtra region,1,845731,3124208
Salt Lake County Utah,2,71071,71071
Salt Lake County Utah,1,71071,137051
Salt Lake County Utah,1,71071,137057
Salt Lake County Utah,1,71071,137060
Salt Lake County Utah,1,71071,137061
Salt Lake County Utah,1,71071,137062
Salt Lake County Utah,1,71071,137067
Salt Lake County Utah,1,71071,137069
Salt Lake County Utah,1,71071,137070
Salt Lake County Utah,1,71071,137072
Salt Lake County Utah,1,71071,137073
Salt Lake County Utah,1,71071,151249
Salt Lake County Utah,1,71071,1100936
Salt Lake County Utah,1,71071,1236976
Salt Lake County Utah,1,71071,4324505
Ankara,2,802,802
Ankara,1,802,444446
Ankara,1,802,515839
Ankara,1,802,708203
Ankara,1,802,2626732
Ankara,1,802,35873486
Counties of Sweden,2,157881,157881
Counties of Sweden,1,157881,19021
Counties of Sweden,1,157881,80273
Counties of Sweden,1,157881,82323
Counties of Sweden,1,157881,101402
Counties of Sweden,1,157881,113032
Counties of Sweden,1,157881,113260
Counties of Sweden,1,157881,113610
Counties of Sweden,1,157881,124648
Counties of Sweden,1,157881,131886
Counties of Sweden,1,157881,131935
Counties of Sweden,1,157881,131974
Counties of Sweden,1,157881,132018
Counties of Sweden,1,157881,132062
Counties of Sweden,1,157881,132101
Counties of Sweden,1,157881,132145
Counties of Sweden,1,157881,132193
Counties of Sweden,1,157881,132221
Counties of Sweden,1,157881,132253
Counties of Sweden,1,157881,132279
Counties of Sweden,1,157881,183161
Counties of Sweden,1,157881,284507
Lok Sabha,2,275456,275456
Lok Sabha,1,275456,1291018
Lok Sabha,1,275456,1527265
Lok Sabha,1,275456,11268740
Lok Sabha,1,275456,17355268
Lok Sabha,1,275456,40624869
Lok Sabha,1,275456,51085375
New Haven Connecticut,2,53825,53825
New Haven Connecticut,1,53825,34273
New Haven Connecticut,1,53825,108792
New Haven Connecticut,1,53825,152159
New Haven Connecticut,1,53825,255850
New Haven Connecticut,1,53825,255856
New Haven Connecticut,1,53825,256957
New Haven Connecticut,1,53825,456406
New Haven Connecticut,1,53825,530010
New Haven Connecticut,1,53825,536713
New Haven Connecticut,1,53825,695450
New Haven Connecticut,1,53825,874207
New Haven Connecticut,1,53825,2046617
New Haven Connecticut,1,53825,2588094
Chaoshan,2,1461079,1461079
Chaoshan,1,1461079,6183
Chaoshan,1,1461079,179762
Chaoshan,1,1461079,1095005
Chaoshan,1,1461079,1797112
Chaoshan,1,1461079,9935903
Oireachtas,2,148746,148746
Oireachtas,1,148746,148808
Oireachtas,1,148746,157086
Oireachtas,1,148746,1824950
Oireachtas,1,148746,1825021
Oireachtas,1,148746,8503174
Oireachtas,1,148746,11965818
Oireachtas,1,148746,23742684
Oireachtas,1,148746,29706525
Oireachtas,1,148746,40038072
Mato Grosso,2,229514,229514
Mato Grosso,1,229514,700984
Mato Grosso,1,229514,1092739
Mato Grosso,1,229514,1279793
Mato Grosso,1,229514,2143658
Mato Grosso,1,229514,30704135
Liguria,2,71864,71864
Liguria,1,71864,161618
Liguria,1,71864,201785
Liguria,1,71864,245508
Liguria,1,71864,424214
Liguria,1,71864,559961
Liguria,1,71864,745321
Liguria,1,71864,1176281
Liguria,1,71864,1226281
Liguria,1,71864,1448624
Liguria,1,71864,1448629
Liguria,1,71864,1448631
Liguria,1,71864,1448640
Liguria,1,71864,2200415
Liguria,1,71864,2877829
Liguria,1,71864,9846798
Liguria,1,71864,19073687
Liguria,1,71864,30860758
Liguria,1,71864,47332321
London Borough of Barnet,2,94333,94333
London Borough of Barnet,1,94333,93981
London Borough of Barnet,1,94333,94001
London Borough of Barnet,1,94333,94014
London Borough of Barnet,1,94333,94090
London Borough of Barnet,1,94333,94171
London Borough of Barnet,1,94333,94329
London Borough of Barnet,1,94333,307117
London Borough of Barnet,1,94333,381026
London Borough of Barnet,1,94333,2443967
London Borough of Barnet,1,94333,24383095
London Borough of Barnet,1,94333,29330319
Bayamón Puerto Rico,2,87348,87348
Bayamón Puerto Rico,1,87348,214497
Bayamón Puerto Rico,1,87348,251023
Bayamón Puerto Rico,1,87348,654495
Bayamón Puerto Rico,1,87348,1049065
Bayamón Puerto Rico,1,87348,41709689
Palestinians,2,23267,23267
Palestinians,1,23267,16082
Palestinians,1,23267,46216
Palestinians,1,23267,64231
Palestinians,1,23267,851834
Palestinians,1,23267,3851486
Palestinians,1,23267,17404917
Palestinians,1,23267,25234737
Palestinians,1,23267,38626616
Palestinians,1,23267,40067464
Palestinians,1,23267,43399040
Porsche,2,24365,24365
Porsche,1,24365,67720
Porsche,1,24365,679275
Porsche,1,24365,2056447
Porsche,1,24365,10618702
Porsche,1,24365,48345830
Derbyshire,2,71070,71070
Derbyshire,1,71070,7406
Derbyshire,1,71070,113553
Derbyshire,1,71070,124259
Derbyshire,1,71070,151701
Derbyshire,1,71070,158033
Derbyshire,1,71070,179099
Derbyshire,1,71070,223526
Derbyshire,1,71070,227523
Derbyshire,1,71070,324797
Derbyshire,1,71070,326925
Derbyshire,1,71070,331923
Derbyshire,1,71070,343121
Derbyshire,1,71070,343122
Derbyshire,1,71070,345600
Derbyshire,1,71070,350397
Derbyshire,1,71070,350496
Derbyshire,1,71070,350516
Derbyshire,1,71070,351038
Derbyshire,1,71070,352461
Derbyshire,1,71070,385711
Derbyshire,1,71070,407954
Derbyshire,1,71070,412761
Derbyshire,1,71070,420364
Derbyshire,1,71070,440802
Derbyshire,1,71070,443444
Derbyshire,1,71070,564120
Derbyshire,1,71070,709920
Derbyshire,1,71070,869029
Derbyshire,1,71070,871192
Derbyshire,1,71070,1037416
Derbyshire,1,71070,1041588
Derbyshire,1,71070,3753546
Derbyshire,1,71070,18727355
Thurrock,2,101893,101893
Thurrock,1,101893,540060
Thurrock,1,101893,949492
Thurrock,1,101893,949513
Thurrock,1,101893,1423098
Thurrock,1,101893,29618846
Douglas Aircraft Company,2,201793,201793
Douglas Aircraft Company,1,201793,154809
Douglas Aircraft Company,1,201793,186219
Douglas Aircraft Company,1,201793,494192
Douglas Aircraft Company,1,201793,494509
Douglas Aircraft Company,1,201793,518813
Douglas Aircraft Company,1,201793,23712727
Funen,2,14983541,14983541
Funen,1,14983541,144334
Funen,1,14983541,144341
Funen,1,14983541,210320
Funen,1,14983541,210337
Funen,1,14983541,334485
Oka River,2,377689,377689
Oka River,1,377689,4540
Oka River,1,377689,372327
Oka River,1,377689,394606
Oka River,1,377689,485322
Oka River,1,377689,760545
Mojave Desert,2,239055,239055
Mojave Desert,1,239055,46797
Mojave Desert,1,239055,58015
Mojave Desert,1,239055,107649
Mojave Desert,1,239055,242380
Mojave Desert,1,239055,243813
Mojave Desert,1,239055,501515
Mojave Desert,1,239055,1607669
Mojave Desert,1,239055,26551247
Internet protocol suite,2,15476,15476
Internet protocol suite,1,15476,14539
Internet protocol suite,1,15476,14837
Internet protocol suite,1,15476,15285
Internet protocol suite,1,15476,15323
Internet protocol suite,1,15476,30538
Internet protocol suite,1,15476,31929
Internet protocol suite,1,15476,253111
James II of England,2,5243711,5243711
James II of England,1,5243711,61987
James II of England,1,5243711,240516
James II of England,1,5243711,401638
James II of England,1,5243711,1103509
James II of England,1,5243711,1605045
Guanajuato,2,412827,412827
Guanajuato,1,412827,217151
Guanajuato,1,412827,1498071
Guanajuato,1,412827,2251850
Guanajuato,1,412827,4147317
Guanajuato,1,412827,14206294
Leicester,2,51155,51155
Leicester,1,51155,189710
Leicester,1,51155,197959
Leicester,1,51155,309332
Leicester,1,51155,349423
Leicester,1,51155,349437
Leicester,1,51155,350457
Leicester,1,51155,351808
Leicester,1,51155,354047
Leicester,1,51155,420326
Leicester,1,51155,431167
Leicester,1,51155,1176941
Leicester,1,51155,3254523
Toei Animation,2,612741,612741
Toei Animation,1,612741,20312
Toei Animation,1,612741,27931
Toei Animation,1,612741,75944
Toei Animation,1,612741,326439
Toei Animation,1,612741,519115
Toei Animation,1,612741,1096887
Toei Animation,1,612741,1198596
Toei Animation,1,612741,1621667
Toei Animation,1,612741,2881253
Toei Animation,1,612741,7421144
Toei Animation,1,612741,11091078
Toei Animation,1,612741,47786605
Goiás,2,147954,147954
Goiás,1,147954,472987
Goiás,1,147954,1279793
Goiás,1,147954,1577470
Goiás,1,147954,1783425
Goiás,1,147954,2143658
Inverclyde,2,143060,143060
Inverclyde,1,143060,351234
Inverclyde,1,143060,399946
Inverclyde,1,143060,405999
Inverclyde,1,143060,1071878
Inverclyde,1,143060,2613793
Yukon,2,34230,34230
Yukon,1,34230,33056
Yukon,1,34230,177715
Yukon,1,34230,192748
Yukon,1,34230,492071
Yukon,1,34230,634070
Yukon,1,34230,642929
Yukon,1,34230,666422
Yukon,1,34230,958249
Yukon,1,34230,1791731
Yukon,1,34230,31946480
Yukon,1,34230,42620696
Wellington Region,2,163350,163350
Wellington Region,1,163350,69675
Wellington Region,1,163350,165092
Wellington Region,1,163350,165109
Wellington Region,1,163350,470436
Wellington Region,1,163350,594856
Wellington Region,1,163350,710832
Wellington Region,1,163350,5783293
Wellington Region,1,163350,20843463
Stockholm County,2,113610,113610
Stockholm County,1,113610,95914
Stockholm County,1,113610,128301
Stockholm County,1,113610,128302
Stockholm County,1,113610,128305
Stockholm County,1,113610,128310
Stockholm County,1,113610,128313
Stockholm County,1,113610,233773
Stockholm County,1,113610,534605
Stockholm County,1,113610,1021704
Stockholm County,1,113610,1021705
Stockholm County,1,113610,1021708
Stockholm County,1,113610,1021722
Stockholm County,1,113610,1021731
Stockholm County,1,113610,2429985
Stockholm County,1,113610,2644014
Tameside,2,166130,166130
Tameside,1,166130,166173
Tameside,1,166130,183184
Tameside,1,166130,308036
Tameside,1,166130,513981
Tameside,1,166130,544349
Bangalore,2,44275267,44275267
Bangalore,1,44275267,37533
Bangalore,1,44275267,241601
Bangalore,1,44275267,2481515
Bangalore,1,44275267,4051322
Bangalore,1,44275267,15861688
Bangalore,1,44275267,21874146
Bangalore,1,44275267,26640767
Sub-Saharan Africa,2,27067,27067
Sub-Saharan Africa,1,27067,4124
Sub-Saharan Africa,1,27067,564971
Sub-Saharan Africa,1,27067,2108409
Sub-Saharan Africa,1,27067,2319882
Sub-Saharan Africa,1,27067,2767951
Western Conference WNBA,2,19054293,19054293
Western Conference WNBA,1,19054293,85694
Western Conference WNBA,1,19054293,179829
Western Conference WNBA,1,19054293,237106
Western Conference WNBA,1,19054293,240212
Western Conference WNBA,1,19054293,240213
Hartford Connecticut,2,53678,53678
Hartford Connecticut,1,53678,87976
Hartford Connecticut,1,53678,233764
Hartford Connecticut,1,53678,256934
Hartford Connecticut,1,53678,256957
Hartford Connecticut,1,53678,270855
Hartford Connecticut,1,53678,275138
Hartford Connecticut,1,53678,277766
Hartford Connecticut,1,53678,502336
Hartford Connecticut,1,53678,854617
Hartford Connecticut,1,53678,1238503
International Paralympic Committee,2,67671,67671
International Paralympic Committee,1,67671,346300
International Paralympic Committee,1,67671,497457
International Paralympic Committee,1,67671,2311504
